DHL Supply Chain Advanced Regional Centre (1 Greenwich Drive),28
Chinatown Complex,81
Hu Lee Impex (Chin Bee Avenue),54
PCF Sparkletots Braddell Heights (335 Serangoon Avenue 3),22
30 Sunview Way construction site,140
Sembcorp Marine Tuas Boulevard Yard,85
Changi General Hospital,70
Bugis Junction,316
Toa Payoh Bus Interchange staff,212
Tampines Bus Interchange staff,73
Boon Lay Bus Interchange staff,190
Bishan Bus Interchange staff,39
Jurong East Bus Interchange staff,48
Clementi Bus Interchange staff,61
Punggol Bus Interchange staff,47
119 Neythal Road dormitory,28